0.43138,0.78422,0.79315,0.37675,0.33532,0.71688,0.31448,0.7871
-0.027068,-0.14526,0.66574,0.99724,0.58904,0.54129,0.14174,0.11564
0.41095,0.22816,0.48108,0.38779,0.49337,0.75219,0.29089,0.61097
0.38116,0.83168,0.22692,0.76175,0.45114,0.93024,0.47006,0.39915
0.20462,0.37777,0.061006,0.67792,0.17282,0.82514,0.97841,0.61225
0.73071,0.56213,0.89364,0.48317,0.90673,0.57996,0.24815,0.24762
0.30185,0.12236,0.43108,0.34464,0.00193,0.21209,0.25307,0.27454
0.52994,0.87801,0.56048,0.38127,0.51608,0.33822,0.038125,0.83412
0.10976,0.65853,0.19605,0.56026,0.77096,0.10564,0.49099,0.84643
0.27994,0.50354,0.61236,0.55793,0.12357,0.75434,0.65685,0.20036
0.4474,0.27125,2.0087,1.7061,1.7566,3.1737,4.8335,3.2667
1.9386,1.7559,2.1765,2.5359,2.7268,3.9632,0.43805,4.4646
0.07059,-0.036195,4.6689,4.7081,3.1126,0.24514,3.8725,4.1463
3.4341,4.6189,4.5903,3.3556,0.51538,2.1605,1.2,0.24239
4.5348,0.52514,3.3313,2.6354,2.3554,2.1543,4.0291,0.25431
3.3456,2.5832,3.2801,0.37306,3.0893,0.50296,1.201,1.4245
3.6728,0.5554,3.0254,3.7798,4.9008,1.1561,2.0856,0.06534
0.60336,1.1466,4.0915,2.3981,2.421,0.31188,3.095,4.5972
3.9172,2.3885,1.1237,2.7697,2.8885,2.8693,-0.11844,0.15916
2.6684,4.3863,0.47931,4.1538,1.8916,4.418,4.09,4.3133
